bioguide_id,full_name,aipac_direct_amount_2022,aipac_earmark_amount_2022,aipac_ie_support_2022,aipac_ie_against_opp_2022,aipac_ie_total_2022,aipac_total_2022,dmfi_direct_2022,dmfi_earmark_2022,dmfi_ie_support_2022,dmfi_ie_against_opp_2022,dmfi_ie_total_2022,dmfi_total_2022,aipac_supported_2022,dmfi_supported_2022
D000216,"DeLauro, Rosa L.",7900.0,32200.0,0.0,0.0,0.0,40100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000230,"Davis, Donald G.",7900.0,158545.0,2102637.82,335412.57,2438050.3899999997,2604495.3899999997,2000.0,0.0,90240.0,376466.0,466706.0,468706.0,1,1
D000399,"Doggett, Lloyd",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000530,"Deluzio, Christopher R.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000563,"Durbin, Richard J.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000594,"De La Cruz, Monica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000600,"Diaz-Balart, Mario",10000.0,13800.0,0.0,0.0,0.0,23800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000616,"DesJarlais, Scott",10000.0,12900.0,0.0,0.0,0.0,22900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000617,"DelBene, Suzan K.",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000618,"Daines, Steve",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000622,"Duckworth, Tammy",10000.0,95500.0,0.0,0.0,0.0,105500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000623,"DeSaulnier, Mark",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000624,"Dingell, Debbie",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000626,"Davidson, Warren",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000628,"Dunn, Neal P.",2900.0,15300.0,0.0,0.0,0.0,18200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000629,"Davids, Sharice",2900.0,32660.0,0.0,0.0,0.0,35560.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
